route_name,route_link,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability,state,id
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 351880,VENNELA (A.C. SLEEPER),00:40,05h 25m,06:05,4.7,737.0,16,Andhra Pradesh,1
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3563,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:00,06h 15m,07:15,3.8,412.0,33,Andhra Pradesh,2
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 35266,VENNELA (A.C. SLEEPER),01:25,05h 24m,06:49,3.9,737.0,27,Andhra Pradesh,3
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3590,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",01:45,06h 15m,08:00,4.5,412.0,33,Andhra Pradesh,4
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,APSRTC - 3058,VENNELA (A.C. SLEEPER),02:20,05h 20m,07:40,2.9,781.0,13,Andhra Pradesh,5
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),04:35,05h 55m,10:30,4.7,480.0,22,Andhra Pradesh,6
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),05:50,05h 55m,11:45,4.7,450.0,35,Andhra Pradesh,7
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),05:00,06h 05m,11:05,4.6,356.0,11,Andhra Pradesh,8
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,AdIntrCity SmartBus,A/C Seater / Sleeper (2+1),01:30,04h 55m,06:25,4.0,435.0,41,Andhra Pradesh,9
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,Sri KVR Travels,A/C Sleeper (2+1),23:35,05h 40m,05:15,4.6,560.0,26,Andhra Pradesh,10
